"","City","AQI","Date"
"761","Delhi","209",2020-06-28
"762","Ernakulam","100",2020-06-28
"763","Gurugram","202",2020-06-28
"764","Guwahati","32",2020-06-28
"765","Hyderabad","44",2020-06-28
"766","Jaipur","74",2020-06-28
"767","Jorapokhar","94",2020-06-28
"768","Kochi","69",2020-06-28
"769","Kolkata","30",2020-06-28
"770","Lucknow","70",2020-06-28
"771","Mumbai","49",2020-06-28
"772","Patna","68",2020-06-28
"773","Shillong","29",2020-06-28
"774","Talcher","92",2020-06-28
"775","Thiruvananthapuram","41",2020-06-28
"776","Visakhapatnam","74",2020-06-28
"777","Ahmedabad","48",2020-06-29
"778","Aizawl","9",2020-06-29
"779","Amaravati","56",2020-06-29
"780","Amritsar","50",2020-06-29
"781","Bengaluru","51",2020-06-29
"782","Bhopal","51",2020-06-29
"783","Chandigarh","83",2020-06-29
"784","Chennai","93",2020-06-29
"785","Delhi","230",2020-06-29
"786","Ernakulam","106",2020-06-29
"787","Gurugram","142",2020-06-29
"788","Guwahati","37",2020-06-29
"789","Hyderabad","44",2020-06-29
"790","Jaipur","65",2020-06-29
"791","Jorapokhar","74",2020-06-29
"792","Kochi","79",2020-06-29
"793","Kolkata","37",2020-06-29
"794","Lucknow","64",2020-06-29
"795","Mumbai","36",2020-06-29
"796","Patna","56",2020-06-29
"797","Shillong","20",2020-06-29
"798","Talcher","76",2020-06-29
"799","Thiruvananthapuram","52",2020-06-29
"800","Ahmedabad","69",2020-06-30
"801","Aizawl","9",2020-06-30
"802","Amaravati","51",2020-06-30
"803","Amritsar","69",2020-06-30
"804","Bengaluru","36",2020-06-30
"805","Bhopal","60",2020-06-30
"806","Chandigarh","54",2020-06-30
"807","Chennai","92",2020-06-30
"808","Delhi","102",2020-06-30
"809","Ernakulam","108",2020-06-30
"810","Gurugram","117",2020-06-30
"811","Guwahati","36",2020-06-30
"812","Hyderabad","47",2020-06-30
"813","Jaipur","69",2020-06-30
"814","Jorapokhar","82",2020-06-30
"815","Kochi","78",2020-06-30
"816","Kolkata","41",2020-06-30
"817","Lucknow","70",2020-06-30
"818","Mumbai","33",2020-06-30
"819","Patna","87",2020-06-30
"820","Shillong","23",2020-06-30
"821","Talcher","62",2020-06-30
"822","Thiruvananthapuram","38",2020-06-30
"823","Ahmedabad","80",2020-07-01
"824","Aizawl","12",2020-07-01
"825","Amaravati","41",2020-07-01
"826","Amritsar","88",2020-07-01
"827","Bengaluru","41",2020-07-01
"828","Bhopal","73",2020-07-01
"829","Chandigarh","60",2020-07-01
"830","Chennai","75",2020-07-01
"831","Delhi","117",2020-07-01
"832","Ernakulam","104",2020-07-01
"833","Gurugram","134",2020-07-01
"834","Guwahati","37",2020-07-01
"835","Hyderabad","39",2020-07-01
"836","Jaipur","81",2020-07-01
"837","Jorapokhar","84",2020-07-01
"838","Kochi","83",2020-07-01
"839","Kolkata","44",2020-07-01
"840","Lucknow","68",2020-07-01
"841","Mumbai","31",2020-07-01
"842","Patna","98",2020-07-01
"843","Shillong","23",2020-07-01
"844","Talcher","71",2020-07-01
"845","Thiruvananthapuram","38",2020-07-01
"846","Ahmedabad","86",2020-07-02
"847","Aizawl","11",2020-07-02
"848","Amaravati","35",2020-07-02
"849","Amritsar","76",2020-07-02
"850","Bengaluru","36",2020-07-02
"851","Bhopal","54",2020-07-02
"852","Chandigarh","70",2020-07-02
"853","Chennai","76",2020-07-02
"854","Delhi","127",2020-07-02
"855","Ernakulam","110",2020-07-02
"856","Gurugram","150",2020-07-02
"857","Guwahati","51",2020-07-02
"858","Hyderabad","33",2020-07-02
"859","Jaipur","127",2020-07-02
"860","Kochi","85",2020-07-02
"861","Kolkata","41",2020-07-02
"862","Lucknow","142",2020-07-02
"863","Mumbai","29",2020-07-02
"864","Patna","113",2020-07-02
"865","Shillong","20",2020-07-02
"866","Talcher","49",2020-07-02
"867","Thiruvananthapuram","38",2020-07-02
"868","Visakhapatnam","60",2020-07-02
"869","Ahmedabad","78",2020-07-03
"870","Aizawl","8",2020-07-03
"871","Amaravati","35",2020-07-03
"872","Amritsar","114",2020-07-03
"873","Bengaluru","38",2020-07-03
"874","Bhopal","43",2020-07-03
"875","Chandigarh","81",2020-07-03
"876","Chennai","132",2020-07-03
"877","Delhi","156",2020-07-03
"878","Ernakulam","105",2020-07-03
"879","Gurugram","204",2020-07-03
"880","Guwahati","30",2020-07-03
"881","Hyderabad","31",2020-07-03
"882","Jaipur","112",2020-07-03
"883","Jorapokhar","87",2020-07-03
"884","Kochi","82",2020-07-03
"885","Kolkata","40",2020-07-03
"886","Lucknow","125",2020-07-03
"887","Mumbai","34",2020-07-03
"888","Patna","72",2020-07-03
"889","Shillong","21",2020-07-03
"890","Talcher","45",2020-07-03
"891","Thiruvananthapuram","38",2020-07-03
"892","Ahmedabad","98",2020-07-04
"893","Aizawl","11",2020-07-04
"894","Amaravati","34",2020-07-04
"895","Amritsar","75",2020-07-04
"896","Bengaluru","36",2020-07-04
"897","Bhopal","79",2020-07-04
"898","Chandigarh","56",2020-07-04
"899","Chennai","117",2020-07-04
"900","Delhi","105",2020-07-04
"901","Gurugram","114",2020-07-04
"902","Guwahati","34",2020-07-04
"903","Hyderabad","30",2020-07-04
"904","Jaipur","87",2020-07-04
"905","Jorapokhar","109",2020-07-04
"906","Kochi","81",2020-07-04
"907","Kolkata","27",2020-07-04
"908","Lucknow","114",2020-07-04
"909","Mumbai","28",2020-07-04
"910","Patna","52",2020-07-04
"911","Shillong","17",2020-07-04
"912","Talcher","42",2020-07-04
"913","Thiruvananthapuram","35",2020-07-04
"914","Ahmedabad","84",2020-07-05
"915","Amaravati","29",2020-07-05
"916","Amritsar","55",2020-07-05
"917","Bengaluru","42",2020-07-05
"918","Bhopal","55",2020-07-05
"919","Chandigarh","36",2020-07-05
"920","Chennai","85",2020-07-05
"921","Delhi","90",2020-07-05
"922","Ernakulam","94",2020-07-05
"923","Gurugram","102",2020-07-05
"924","Guwahati","29",2020-07-05
"925","Hyderabad","32",2020-07-05
"926","Jaipur","78",2020-07-05
"927","Jorapokhar","70",2020-07-05
"928","Kochi","73",2020-07-05
"929","Kolkata","30",2020-07-05
"930","Lucknow","69",2020-07-05
"931","Mumbai","33",2020-07-05
"932","Patna","47",2020-07-05
"933","Shillong","12",2020-07-05
"934","Talcher","62",2020-07-05
"935","Thiruvananthapuram","45",2020-07-05
"936","Visakhapatnam","62",2020-07-05
"937","Ahmedabad","55",2020-07-06
"938","Amaravati","26",2020-07-06
"939","Amritsar","46",2020-07-06
"940","Bengaluru","38",2020-07-06
"941","Bhopal","44",2020-07-06
"942","Chandigarh","34",2020-07-06
"943","Chennai","109",2020-07-06
"944","Delhi","90",2020-07-06
"945","Ernakulam","100",2020-07-06
"946","Gurugram","102",2020-07-06
"947","Guwahati","26",2020-07-06
"948","Hyderabad","40",2020-07-06
"949","Jaipur","69",2020-07-06
"950","Jorapokhar","80",2020-07-06
"951","Kochi","76",2020-07-06
"952","Kolkata","34",2020-07-06
"953","Lucknow","104",2020-07-06
"954","Mumbai","56",2020-07-06
"955","Patna","47",2020-07-06
"956","Talcher","56",2020-07-06
"957","Thiruvananthapuram","47",2020-07-06
"958","Visakhapatnam","59",2020-07-06
